认购明细ID,用户手机号,上级手机号,代理账户,产品类型,产品名称,认购金额,周期-天,结束时间,收益率,产品状态,真实姓名,认购编号,认购时间
609,13800000465,13800000466,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 21:38:51,1.90,认购中,王**,R6CMM0VNB8KV1F4VJR,2025-09-19 21:38:51
607,13800000467,13800000468,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 20:53:08,1.90,认购中,许**,CHG5YPEGFZ2RL44BUG,2025-09-19 20:53:08
602,13800000469,13800000354,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 19:53:35,1.90,认购中,郭**,4EGF3ZP4EM8MZEL1UH,2025-09-19 19:53:35
594,13800000099,13800000470,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 18:44:42,1.90,认购中,王**,9Q4DUK8YUZ5A372XKJ,2025-09-19 18:44:42
590,13800000152,13800000064,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 18:20:00,1.90,认购中,连**,ZWM9LRD7NATX0FUD3S,2025-09-19 18:20:00
584,13800000470,13800000043,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 17:52:34,1.90,认购中,王**,AU0FVPTVFR7WN2P13V,2025-09-19 17:52:34
580,13800000021,13800000072,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 17:37:33,1.90,认购中,彭**,YAL44YBB39WWH84DGX,2025-09-19 17:37:33
575,13800000019,13800000466,18888888803,2,B01.建设数字健康管理与医养数据平台,1072.50,360,2026-09-14 17:21:56,1.90,认购中,潘**,2028FQA188M0DHWL8Q,2025-09-19 17:21:56
569,13800000468,13800000471,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 17:06:58,1.90,认购中,祁**,RSTC3U7TV89XENPFBW,2025-09-19 17:06:58
563,13800000452,13800000382,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 16:35:46,1.90,认购中,牛**,UC9CCUFT79DQDS6Q2H,2025-09-19 16:35:46
558,13800000472,13800000290,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 15:53:12,1.90,认购中,王*,XA8CHPQ3MYEXSV8NK5,2025-09-19 15:53:12
552,13800000466,13800000456,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 15:30:42,1.90,认购中,陈**,JNWGT6SJR6TKU0KDUD,2025-09-19 15:30:42
550,13800000049,13800000065,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 15:15:29,1.90,认购中,韩**,EG6VZM5C0YFGBPB3KH,2025-09-19 15:15:29
544,13800000456,13800000472,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 14:52:19,1.90,认购中,王**,PMLNXLAQRJA00F8166,2025-09-19 14:52:19
543,13800000367,13800000255,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 14:49:14,1.90,认购中,郭**,84S582B95KDC4TMAEL,2025-09-19 14:49:14
542,13800000123,13800000043,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 14:23:13,1.90,认购中,周*,JTV31TUZ0WG87QBPMA,2025-09-19 14:23:13
539,13800000458,13800000367,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.05,360,2026-09-14 14:15:36,1.90,认购中,王**,04HF041P4M4QYBK5MQ,2025-09-19 14:15:36
535,13800000358,13800000065,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 13:44:09,1.90,认购中,国**,DR2E7V2QVS8UCND5LP,2025-09-19 13:44:09
532,13800000018,13800000019,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 13:36:37,1.90,认购中,杜**,8JWP2SCYSAHVL078SU,2025-09-19 13:36:37
527,13800000354,13800000414,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 13:17:15,1.90,认购中,茹**,9MBXUAJCVW4AP63EE2,2025-09-19 13:17:15
524,13800000473,13800000443,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 13:07:34,1.90,认购中,常**,JCQ8RADH8CBE8ZLAME,2025-09-19 13:07:34
522,13800000235,13800000271,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 12:59:20,1.90,认购中,赵**,846P84SSQ90J03GKJQ,2025-09-19 12:59:20
520,13800000306,13800000289,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 12:39:03,1.90,认购中,郭**,JDD4NKSNZ1ZFKUJUQJ,2025-09-19 12:39:03
519,13800000389,13800000271,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 12:33:52,1.90,认购中,程**,JS1SW22BFYB0VL78DC,2025-09-19 12:33:52
514,13800000422,13800000474,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 11:57:04,1.90,认购中,周**,90V100LTFA2DERA5AL,2025-09-19 11:57:04
509,13800000212,13800000354,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 11:31:31,1.90,认购中,徐**,081WLPUYWDAQGE8HSD,2025-09-19 11:31:31
508,13800000443,13800000475,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 11:29:30,1.90,认购中,钟**,9Y49SARXJLVJ04Q6VR,2025-09-19 11:29:30
507,13800000064,13800000065,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 11:21:27,1.90,认购中,韩**,F7C602ZV19U2XF4PJ0,2025-09-19 11:21:27
499,13800000072,13800000271,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-14 10:36:53,1.90,认购中,杨**,H2RETP2JDTZ7XGESQY,2025-09-19 10:36:53
460,13800000011,13800000065,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-13 20:38:56,1.90,认购中,张**,98XS1YM3J3KSWV0WY1,2025-09-18 20:38:56
456,13800000476,13800000197,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-13 20:20:06,1.90,认购中,贾*,KE6T5D4HLRM80Z26KW,2025-09-18 20:20:06
453,13800000477,13800000478,18888888803,2,B01.建设数字健康管理与医养数据平台,1015.00,360,2026-09-13 20:16:15,1.90,认购中,岳**,99629NG3980XU1XWAL,2025-09-18 20:16:15
447,13800000475,13800000477,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-13 19:46:23,1.90,认购中,邓**,PVBHKCB77Y4XLG9X8D,2025-09-18 19:46:23
442,13800000439,13800000477,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-13 18:54:33,1.90,认购中,欧**,A12Q7UJC889DZ6RX1Z,2025-09-18 18:54:33
436,13800000318,13800000114,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-13 17:54:42,1.90,认购中,何**,EDKV3D6C67QZ67F4BR,2025-09-18 17:54:42
435,13800000001,13800000114,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-13 17:54:16,1.90,认购中,张**,5BFH96KW13TEFCGZRZ,2025-09-18 17:54:16
428,13800000271,13800000306,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-13 17:11:47,1.90,认购中,金**,KXZELF23TQ2JNYQZ3R,2025-09-18 17:11:47
411,13800000479,13800000085,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-13 15:47:23,1.90,认购中,王**,PXEBM5J1KSGLD6HVRD,2025-09-18 15:47:23
397,13800000043,13800000065,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-13 13:13:39,1.90,认购中,徐**,20Z6AAJ556MXPVGH6W,2025-09-18 13:13:39
396,13800000414,13800000458,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-13 13:10:44,1.90,认购中,刘**,P7SEQZWUFE19DGL08W,2025-09-18 13:10:44
395,13800000302,13800000465,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-13 13:10:17,1.90,认购中,王**,AV9SAQBLE5BYBUMAPD,2025-09-18 13:10:17
393,13800000065,13800000389,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-13 12:57:05,1.90,认购中,连**,ULYVEE9ELYW2JGU240,2025-09-18 12:57:05
388,13800000480,13800000087,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-13 12:24:34,1.90,认购中,范**,4LCQMDBSHYV2CZHSN9,2025-09-18 12:24:34
373,13800000471,13800000454,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-13 10:34:27,1.90,认购中,迟**,JF04SZR8E5M22F4NTN,2025-09-18 10:34:27
366,13800000454,13800000367,18888888803,2,B01.建设数字健康管理与医养数据平台,1015.00,360,2026-09-13 09:42:54,1.90,认购中,张**,CEUGG86B3B6NLW9BWK,2025-09-18 09:42:54
363,13800000481,13800000482,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-13 09:28:56,1.90,认购中,贾**,NY1MQQBDEKWS4TU235,2025-09-18 09:28:56
341,13800000382,13800000449,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-12 19:23:26,1.90,认购中,孙**,HYCK1Q1CULWJRYNN3V,2025-09-17 19:23:26
330,13800000326,13800000369,18888888803,2,B01.建设数字健康管理与医养数据平台,1015.00,360,2026-09-12 18:27:13,1.90,认购中,徐**,HDQB1PF4E68Z4R0NL7,2025-09-17 18:27:13
329,13800000461,13800000255,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-12 18:24:58,1.90,认购中,吴*,WJ40YFRYP3S8Y0TBF5,2025-09-17 18:24:58
291,13800000085,13800000483,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-12 14:37:47,1.90,认购中,王**,8C5GHDAQWTGSY3LEBN,2025-09-17 14:37:47
286,13800000025,13800000449,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-12 14:01:21,1.90,认购中,张**,TCKAVVBM9JKMBF8XCG,2025-09-17 14:01:21
273,13800000449,13800000460,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-12 13:26:55,1.90,认购中,周**,4CQCH97RXP3W4MXNW5,2025-09-17 13:26:55
263,13800000255,13800000478,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-12 13:01:38,1.90,认购中,唐**,5RRRUD7F1A743MV46M,2025-09-17 13:01:38
181,13800000339,13800000197,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-11 15:55:42,1.90,认购中,陆**,2BXMQJNHQZ3N7Y4SL7,2025-09-16 15:55:42
171,13800000086,13800000087,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-11 14:24:19,1.90,认购中,何**,52V2YPBJ6UB2MNM17S,2025-09-16 14:24:19
101,13800000482,13800000085,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-10 21:25:20,1.90,认购中,李**,UTWW84HXNYSFRUL5V9,2025-09-15 21:25:20
96,13800000114,13800000085,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-10 21:12:30,1.90,认购中,郑**,ZLK3X25Z40T0E49NKP,2025-09-15 21:12:30
68,13800000088,13800000086,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-09-10 17:18:30,1.90,认购中,王**,DA6HXGSNMCKTWXW91N,2025-09-15 17:18:30
