认购明细ID,用户手机号,上级手机号,代理账户,产品类型,产品名称,认购金额,周期-天,结束时间,收益率,产品状态,真实姓名,认购编号,认购时间
1878,13800000432,13800000121,18888888803,6,D01.健康中国2030·养老红利特别国债计划,160.25,0,2025-10-12 03:51:18,0.00,认购中,何**,YDZCMS0T8FSMZXP8G6,2025-10-12 03:51:18
1843,13800000214,13800000099,18888888803,6,D01.健康中国2030·养老红利特别国债计划,999.00,0,2025-10-11 00:12:35,0.00,认购中,蒋**,YRRB1H879Y6ZVPL7VA,2025-10-11 00:12:35
1838,13800000383,13800000072,18888888803,6,D01.健康中国2030·养老红利特别国债计划,105.00,0,2025-10-11 00:10:25,0.00,认购中,成*,Z609CQ6Z741AX7F04H,2025-10-11 00:10:25
1834,13800000455,13800000456,18888888803,6,D01.健康中国2030·养老红利特别国债计划,525.00,0,2025-10-11 00:09:55,0.00,认购中,张**,U51BBDV1B7Q2XJA64Q,2025-10-11 00:09:55
1795,13800000456,13800000472,18888888803,6,D01.健康中国2030·养老红利特别国债计划,315.00,0,2025-10-10 12:48:52,0.00,认购中,王**,946TXH6EQGS6QL0DS0,2025-10-10 12:48:52
1629,13800000114,13800000085,18888888803,6,D01.健康中国2030·养老红利特别国债计划,1001.25,0,2025-10-07 02:30:27,0.00,认购中,郑**,UM1LDT86S5HK7P2KG6,2025-10-07 02:30:27
1612,13800000098,13800000099,18888888803,6,D01.健康中国2030·养老红利特别国债计划,980.00,0,2025-10-06 14:02:56,0.00,认购中,王**,RKNQ44HRF33VA8WNMS,2025-10-06 14:02:56
1571,13800000149,13800000064,18888888803,6,D01.健康中国2030·养老红利特别国债计划,1000.00,0,2025-10-05 02:49:24,0.00,认购中,韩**,TSFV8HVS6TR2YNFH3D,2025-10-05 02:49:24
1482,13800000065,13800000389,18888888803,6,D01.健康中国2030·养老红利特别国债计划,1000.00,0,2025-10-02 03:01:06,0.00,认购中,连**,3ZWP319WPKBC0WU31U,2025-10-02 03:01:06
1158,13800000358,13800000065,18888888803,6,D01.健康中国2030·养老红利特别国债计划,1210.00,0,2025-09-29 00:39:07,0.00,认购中,国**,SGTY6CWX52U0XNM6FD,2025-09-29 00:39:07
1121,13800000149,13800000064,18888888803,6,D01.健康中国2030·养老红利特别国债计划,1000.00,0,2025-09-28 02:50:02,0.00,认购中,韩**,RFKRAZ5MZX2VFYAMXM,2025-09-28 02:50:02
869,13800000466,13800000456,18888888803,6,D01.健康中国2030·养老红利特别国债计划,101.85,0,2025-09-23 00:40:37,0.00,认购中,陈**,JYCE5RDM3HA79BBYEJ,2025-09-23 00:40:37
728,13800000468,13800000471,18888888803,6,D01.健康中国2030·养老红利特别国债计划,204.00,0,2025-09-21 03:54:44,0.00,认购中,祁**,72UF1G3AUUTA94HZ99,2025-09-21 03:54:44
724,13800000354,13800000414,18888888803,6,D01.健康中国2030·养老红利特别国债计划,630.00,0,2025-09-21 03:54:42,0.00,认购中,茹**,MRL7GV0346MBQD49MP,2025-09-21 03:54:42
