签到详情统计,,,,,,,,,,,,,,,,
课程：机器学习    班级：24级人工智能技术应用2班    任课教师：佘**  导出时间：2025年,,,,,,,,,,,,,,,,
姓名,学号/工号,院系,专业,行政班级,二维码签到(2025年),二维码签到(2025年),二维码签到(2025年),二维码签到(2025年),二维码签到(2025年),二维码签到(2025年),二维码签到(2025年),二维码签到(2025年),二维码签到(2025年),二维码签到(2025年),二维码签到(2025年),二维码签到(2025年)
学生14,学号14,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,事假,已签
学生15,学号15,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,事假,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签
学生16,学号16,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签
学生17,学号17,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签
学生18,学号18,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,病假,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签
学生19,学号19,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签
学生20,学号20,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,事假,事假,已签,已签,已签,教师代签,已签,已签,已签,已签
学生21,学号21,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,病假,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签
学生22,学号22,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签
学生23,学号23,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,病假,已签,已签,已签,已签,病假,已签,已签,已签
学生24,学号24,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签
学生25,学号25,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签
学生26,学号26,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,教师代签,已签,已签,已签,已签,已签
学生27,学号27,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,未参与,已签,已签,已签,已签,已签,已签
学生28,学号28,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签
学生29,学号29,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,教师代签,已签,已签,病假,已签,已签,已签,已签,已签,已签
学生30,学号30,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,公假,已签,已签,已签
学生31,学号31,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,病假,已签,已签,已签,已签,已签,已签,已签
学生32,学号32,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签
学生33,学号33,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签
学生34,学号34,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签
学生35,学号35,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,事假,已签,已签,已签,已签,已签,病假,已签,已签,已签,已签,已签
学生36,学号36,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签
学生37,学号37,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签
学生38,学号38,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,教师代签,已签,公假,事假,事假,已签
学生39,学号39,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签
学生40,学号40,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签
学生41,学号41,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,教师代签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签
学生42,学号42,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签
学生43,学号43,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,未参与,未参与
学生44,学号44,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,病假,已签,已签,已签
学生45,学号45,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签
学生46,学号46,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,病假,病假,病假,病假,病假,已签,已签,病假,已签,未参与,未参与,未参与
学生47,学号47,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,病假,已签,已签,已签,已签,已签,已签
学生48,学号48,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,教师代签,已签,已签,已签
